BenchMarkPlayer
games.Othello.BenchmarkPlayer.BenchMarkPlayer:
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 500, 0.0, 0.0, 0, 0, 0.033, 0.0
0, 1000, 0.0, 0.0, 0, 0, 0.05, 0.0
0, 1500, 0.0, 0.0, 0, 0, 0.063, 0.0
0, 2000, 0.0, 0.0, 0, 0, 0.076, 0.0
0, 2500, 0.0, 0.0, 0, 0, 0.09, 0.0
0, 3000, 0.0, 0.0, 0, 0, 0.103, 0.0
0, 3500, 0.0, 0.0, 0, 0, 0.11499999999999999, 0.0
0, 4000, 0.0, 0.0, 0, 0, 0.128, 0.0
0, 4500, 0.0, 0.0, 0, 0, 0.14200000000000002, 0.0
0, 5000, 0.0, 0.0, 0, 0, 0.15500000000000003, 0.0
0, 5500, 0.0, 0.0, 0, 0, 0.16900000000000004, 0.0
0, 6000, 0.0, 0.0, 0, 0, 0.19800000000000004, 0.0
0, 6500, 0.0, 0.0, 0, 0, 0.21100000000000005, 0.0
0, 7000, 0.0, 0.0, 0, 0, 0.22200000000000006, 0.0
0, 7500, 0.0, 0.0, 0, 0, 0.23300000000000007, 0.0
0, 8000, 0.0, 0.0, 0, 0, 0.24500000000000008, 0.0
0, 8500, 0.0, 0.0, 0, 0, 0.25900000000000006, 0.0
0, 9000, 0.0, 0.0, 0, 0, 0.2710000000000001, 0.0
0, 9500, 0.0, 0.0, 0, 0, 0.2830000000000001, 0.0
0, 10000, 0.0, 0.0, 0, 0, 0.2950000000000001, 0.0
1, 500, 0.0, 0.0, 0, 0, 0.3100000000000001, 0.0
1, 1000, 0.0, 0.0, 0, 0, 0.3210000000000001, 0.0
1, 1500, 0.0, 0.0, 0, 0, 0.33200000000000013, 0.0
1, 2000, 0.0, 0.0, 0, 0, 0.34700000000000014, 0.0
1, 2500, 0.0, 0.0, 0, 0, 0.35900000000000015, 0.0
1, 3000, 0.0, 0.0, 0, 0, 0.37100000000000016, 0.0
1, 3500, 0.0, 0.0, 0, 0, 0.3860000000000002, 0.0
1, 4000, 0.0, 0.0, 0, 0, 0.4000000000000002, 0.0
1, 4500, 0.0, 0.0, 0, 0, 0.4160000000000002, 0.0
1, 5000, 0.0, 0.0, 0, 0, 0.4310000000000002, 0.0
1, 5500, 0.0, 0.0, 0, 0, 0.45600000000000024, 0.0
